City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
654,Bol,TD,71.91,clear sky,13.4586,14.7147,Hotel 3 Etoiles
655,Guruvayur,IN,78.04,broken clouds,10.5943,76.0411,Kanoos Residency
660,Camacari,BR,82.17,overcast clouds,-12.6975,-38.3242,Hotel Cambuci
666,Santo Domingo,DO,81.93,clear sky,18.5001,-69.9886,Cabañas City Heart
670,Lebanon,US,71.82,broken clouds,36.2081,-86.2911,Hampton Inn & Suites Lebanon
672,Impfondo,CG,74.3,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
674,Bonito,BR,84.34,broken clouds,-21.1211,-56.4819,Marruá Hotel
677,Codrington,AU,70.07,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
683,Dogondoutchi,NE,71.46,clear sky,13.6393,4.0287,Hôtel Alheri Maison Alheri
685,Kieta,PG,83.28,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
686,Leeton,AU,82.89,clear sky,-34.5667,146.4,Historic Hydro Motor Inn
687,Vung Tau,VN,75.15,scattered clouds,10.346,107.0843,Green hotel
689,Eyl,SO,75.65,scattered clouds,7.9803,49.8164,Amiin Hotel
691,Port Macquarie,AU,70.9,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
694,Manokwari,ID,79.21,moderate rain,-0.8667,134.0833,Swiss Belhotel Manokwari
695,Shakawe,BW,70.47,broken clouds,-18.3667,21.85,Ditlhapi Guest House
700,Camopi,GF,72.72,light rain,3.1655,-52.3158,La pousada
